# filename: /home/lepecvd/lepecvd/11354/xray/2.0deg-2.0deg-rsm-3h10m_11354-E4_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
7.3351	86.1142	-0.10	0.10	0.00	-22.75	7.333	5.17489	7.19579	0.0
7.3451	86.1342	-0.10	0.10	0.00	-22.75	7.333	5.17586	7.19714	0.0
7.3551	86.1542	-0.10	0.10	0.00	-22.75	7.333	5.17683	7.19848	2.0
7.3651	86.1742	-0.10	0.10	0.00	-22.75	7.333	5.17779	7.19982	0.0
7.3751	86.1942	-0.10	0.10	0.00	-22.75	7.333	5.17876	7.20117	2.0
7.3851	86.2142	-0.10	0.10	0.00	-22.75	7.333	5.17972	7.20251	2.0
7.3951	86.2342	-0.10	0.10	0.00	-22.75	7.333	5.18069	7.20385	0.0
7.4051	86.2542	-0.10	0.10	0.00	-22.75	7.333	5.18165	7.20520	2.0
7.4151	86.2742	-0.10	0.10	0.00	-22.75	7.333	5.18262	7.20654	2.0
7.4251	86.2942	-0.10	0.10	0.00	-22.75	7.333	5.18359	7.20788	0.0
7.4351	86.3142	-0.10	0.10	0.00	-22.75	7.333	5.18455	7.20922	0.0
7.4451	86.3342	-0.10	0.10	0.00	-22.75	7.333	5.18552	7.21056	0.0
7.4551	86.3542	-0.10	0.10	0.00	-22.75	7.333	5.18648	7.21191	2.0
7.4651	86.3742	-0.10	0.10	0.00	-22.75	7.333	5.18745	7.21325	0.0
7.4751	86.3942	-0.10	0.10	0.00	-22.75	7.333	5.18841	7.21459	2.0
7.4851	86.4142	-0.10	0.10	0.00	-22.75	7.333	5.18937	7.21593	2.0
7.4951	86.4342	-0.10	0.10	0.00	-22.75	7.333	5.19034	7.21727	2.0
7.5051	86.4542	-0.10	0.10	0.00	-22.75	7.333	5.19130	7.21861	2.0
7.5151	86.4742	-0.10	0.10	0.00	-22.75	7.333	5.19227	7.21995	2.0
7.5251	86.4942	-0.10	0.10	0.00	-22.75	7.333	5.19323	7.22129	2.0
7.5351	86.5142	-0.10	0.10	0.00	-22.75	7.333	5.19419	7.22263	2.0
7.5451	86.5342	-0.10	0.10	0.00	-22.75	7.333	5.19516	7.22397	4.0
7.5551	86.5542	-0.10	0.10	0.00	-22.75	7.333	5.19612	7.22531	2.0
7.5651	86.5742	-0.10	0.10	0.00	-22.75	7.333	5.19708	7.22665	4.0
7.5751	86.5942	-0.10	0.10	0.00	-22.75	7.333	5.19805	7.22799	2.0
7.5851	86.6142	-0.10	0.10	0.00	-22.75	7.333	5.19901	7.22933	2.0
7.5951	86.6342	-0.10	0.10	0.00	-22.75	7.333	5.19997	7.23067	2.0
7.6051	86.6542	-0.10	0.10	0.00	-22.75	7.333	5.20093	7.23200	2.0
7.6151	86.6742	-0.10	0.10	0.00	-22.75	7.333	5.20190	7.23334	4.0
7.6251	86.6942	-0.10	0.10	0.00	-22.75	7.333	5.20286	7.23468	2.0
7.6351	86.7142	-0.10	0.10	0.00	-22.75	7.333	5.20382	7.23602	2.0
7.6451	86.7342	-0.10	0.10	0.00	-22.75	7.333	5.20478	7.23735	2.0
7.6551	86.7542	-0.10	0.10	0.00	-22.75	7.333	5.20574	7.23869	0.0
7.6651	86.7742	-0.10	0.10	0.00	-22.75	7.333	5.20670	7.24003	0.0
7.6751	86.7942	-0.10	0.10	0.00	-22.75	7.333	5.20767	7.24137	0.0
7.6851	86.8142	-0.10	0.10	0.00	-22.75	7.333	5.20863	7.24270	4.0
7.6951	86.8342	-0.10	0.10	0.00	-22.75	7.333	5.20959	7.24404	0.0
7.7051	86.8542	-0.10	0.10	0.00	-22.75	7.333	5.21055	7.24537	0.0
7.7151	86.8742	-0.10	0.10	0.00	-22.75	7.333	5.21151	7.24671	0.0
