# filename: /home/lepecvd/lepecvd/11355/xray/2.0deg-2.0deg-rsm-3h10m_11355-E5_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
7.9078	88.6726	0.46	0.10	-30.00	-20.00	7.373	5.38766	7.30005	2.0
7.9178	88.6926	0.46	0.10	-30.00	-20.00	7.373	5.38863	7.30135	0.0
7.9278	88.7126	0.46	0.10	-30.00	-20.00	7.373	5.38959	7.30265	2.0
7.9378	88.7326	0.46	0.10	-30.00	-20.00	7.373	5.39055	7.30396	4.0
7.9478	88.7526	0.46	0.10	-30.00	-20.00	7.373	5.39151	7.30526	0.0
7.9578	88.7726	0.46	0.10	-30.00	-20.00	7.373	5.39247	7.30656	0.0
7.9678	88.7926	0.46	0.10	-30.00	-20.00	7.373	5.39344	7.30787	2.0
7.9778	88.8126	0.46	0.10	-30.00	-20.00	7.373	5.39440	7.30917	0.0
7.9878	88.8326	0.46	0.10	-30.00	-20.00	7.373	5.39536	7.31047	0.0
7.9978	88.8526	0.46	0.10	-30.00	-20.00	7.373	5.39632	7.31177	0.0
8.0078	88.8726	0.46	0.10	-30.00	-20.00	7.373	5.39728	7.31307	0.0
8.0178	88.8926	0.46	0.10	-30.00	-20.00	7.373	5.39824	7.31438	0.0
8.0278	88.9126	0.46	0.10	-30.00	-20.00	7.373	5.39920	7.31568	2.0
8.0378	88.9326	0.46	0.10	-30.00	-20.00	7.373	5.40016	7.31698	4.0
8.0478	88.9526	0.46	0.10	-30.00	-20.00	7.373	5.40112	7.31828	0.0
8.0578	88.9726	0.46	0.10	-30.00	-20.00	7.373	5.40208	7.31958	2.0
8.0678	88.9926	0.46	0.10	-30.00	-20.00	7.373	5.40304	7.32088	2.0
8.0778	89.0126	0.46	0.10	-30.00	-20.00	7.373	5.40400	7.32218	0.0
8.0878	89.0326	0.46	0.10	-30.00	-20.00	7.373	5.40496	7.32348	0.0

6.1278	85.0726	0.46	0.10	-30.00	-20.00	7.373	5.20934	7.06359	4.0
6.1378	85.0926	0.46	0.10	-30.00	-20.00	7.373	5.21033	7.06493	0.0
6.1478	85.1126	0.46	0.10	-30.00	-20.00	7.373	5.21132	7.06627	0.0
6.1578	85.1326	0.46	0.10	-30.00	-20.00	7.373	5.21232	7.06762	0.0
