# filename: /home/lepecvd/lepecvd/11358/xray/2.0deg-2.0deg-rsm-3h10m_11358-E4_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
7.0144	86.7924	-0.24	0.13	0.00	-23.01	7.396	5.29062	7.18080	2.0
7.0244	86.8124	-0.24	0.13	0.00	-23.01	7.396	5.29160	7.18212	0.0
7.0344	86.8324	-0.24	0.13	0.00	-23.01	7.396	5.29257	7.18345	2.0
7.0444	86.8524	-0.24	0.13	0.00	-23.01	7.396	5.29355	7.18477	2.0
7.0544	86.8724	-0.24	0.13	0.00	-23.01	7.396	5.29453	7.18610	0.0
7.0644	86.8924	-0.24	0.13	0.00	-23.01	7.396	5.29550	7.18742	2.0
7.0744	86.9124	-0.24	0.13	0.00	-23.01	7.396	5.29648	7.18875	2.0
7.0844	86.9324	-0.24	0.13	0.00	-23.01	7.396	5.29745	7.19007	4.0
7.0944	86.9524	-0.24	0.13	0.00	-23.01	7.396	5.29843	7.19139	0.0
7.1044	86.9724	-0.24	0.13	0.00	-23.01	7.396	5.29940	7.19272	4.0
7.1144	86.9924	-0.24	0.13	0.00	-23.01	7.396	5.30038	7.19404	4.0
7.1244	87.0124	-0.24	0.13	0.00	-23.01	7.396	5.30135	7.19536	0.0
7.1344	87.0324	-0.24	0.13	0.00	-23.01	7.396	5.30233	7.19669	0.0
7.1444	87.0524	-0.24	0.13	0.00	-23.01	7.396	5.30330	7.19801	2.0
7.1544	87.0724	-0.24	0.13	0.00	-23.01	7.396	5.30428	7.19933	2.0
7.1644	87.0924	-0.24	0.13	0.00	-23.01	7.396	5.30525	7.20065	0.0
7.1744	87.1124	-0.24	0.13	0.00	-23.01	7.396	5.30623	7.20198	0.0
7.1844	87.1324	-0.24	0.13	0.00	-23.01	7.396	5.30720	7.20330	4.0
7.1944	87.1524	-0.24	0.13	0.00	-23.01	7.396	5.30817	7.20462	0.0
7.2044	87.1724	-0.24	0.13	0.00	-23.01	7.396	5.30915	7.20594	0.0
7.2144	87.1924	-0.24	0.13	0.00	-23.01	7.396	5.31012	7.20726	0.0
7.2244	87.2124	-0.24	0.13	0.00	-23.01	7.396	5.31109	7.20858	0.0
7.2344	87.2324	-0.24	0.13	0.00	-23.01	7.396	5.31207	7.20990	0.0
7.2444	87.2524	-0.24	0.13	0.00	-23.01	7.396	5.31304	7.21123	0.0
7.2544	87.2724	-0.24	0.13	0.00	-23.01	7.396	5.31401	7.21255	2.0
7.2644	87.2924	-0.24	0.13	0.00	-23.01	7.396	5.31498	7.21387	0.0
7.2744	87.3124	-0.24	0.13	0.00	-23.01	7.396	5.31596	7.21519	0.0
7.2844	87.3324	-0.24	0.13	0.00	-23.01	7.396	5.31693	7.21651	0.0
7.2944	87.3524	-0.24	0.13	0.00	-23.01	7.396	5.31790	7.21783	6.0
7.3044	87.3724	-0.24	0.13	0.00	-23.01	7.396	5.31887	7.21914	2.0
7.3144	87.3924	-0.24	0.13	0.00	-23.01	7.396	5.31985	7.22046	4.0
7.3244	87.4124	-0.24	0.13	0.00	-23.01	7.396	5.32082	7.22178	0.0
7.3344	87.4324	-0.24	0.13	0.00	-23.01	7.396	5.32179	7.22310	4.0
7.3444	87.4524	-0.24	0.13	0.00	-23.01	7.396	5.32276	7.22442	0.0
7.3544	87.4724	-0.24	0.13	0.00	-23.01	7.396	5.32373	7.22574	0.0
7.3644	87.4924	-0.24	0.13	0.00	-23.01	7.396	5.32470	7.22706	0.0
7.3744	87.5124	-0.24	0.13	0.00	-23.01	7.396	5.32567	7.22837	0.0
7.3844	87.5324	-0.24	0.13	0.00	-23.01	7.396	5.32664	7.22969	0.0
7.3944	87.5524	-0.24	0.13	0.00	-23.01	7.396	5.32761	7.23101	2.0
7.4044	87.5724	-0.24	0.13	0.00	-23.01	7.396	5.32858	7.23232	6.0
7.4144	87.5924	-0.24	0.13	0.00	-23.01	7.396	5.32955	7.23364	0.0
7.4244	87.6124	-0.24	0.13	0.00	-23.01	7.396	5.33052	7.23496	0.0
7.4344	87.6324	-0.24	0.13	0.00	-23.01	7.396	5.33149	7.23627	0.0
7.4444	87.6524	-0.24	0.13	0.00	-23.01	7.396	5.33246	7.23759	2.0
7.4544	87.6724	-0.24	0.13	0.00	-23.01	7.396	5.33343	7.23891	2.0
7.4644	87.6924	-0.24	0.13	0.00	-23.01	7.396	5.33440	7.24022	0.0
7.4744	87.7124	-0.24	0.13	0.00	-23.01	7.396	5.33537	7.24154	0.0
7.4844	87.7324	-0.24	0.13	0.00	-23.01	7.396	5.33634	7.24285	4.0
7.4944	87.7524	-0.24	0.13	0.00	-23.01	7.396	5.33731	7.24417	2.0
7.5044	87.7724	-0.24	0.13	0.00	-23.01	7.396	5.33828	7.24548	0.0
7.5144	87.7924	-0.24	0.13	0.00	-23.01	7.396	5.33925	7.24680	0.0
7.5244	87.8124	-0.24	0.13	0.00	-23.01	7.396	5.34022	7.24811	4.0
7.5344	87.8324	-0.24	0.13	0.00	-23.01	7.396	5.34118	7.24943	4.0
7.5444	87.8524	-0.24	0.13	0.00	-23.01	7.396	5.34215	7.25074	2.0
7.5544	87.8724	-0.24	0.13	0.00	-23.01	7.396	5.34312	7.25205	0.0
7.5644	87.8924	-0.24	0.13	0.00	-23.01	7.396	5.34409	7.25337	2.0
7.5744	87.9124	-0.24	0.13	0.00	-23.01	7.396	5.34506	7.25468	4.0
7.5844	87.9324	-0.24	0.13	0.00	-23.01	7.396	5.34602	7.25599	0.0
7.5944	87.9524	-0.24	0.13	0.00	-23.01	7.396	5.34699	7.25731	0.0
7.6044	87.9724	-0.24	0.13	0.00	-23.01	7.396	5.34796	7.25862	0.0
7.6144	87.9924	-0.24	0.13	0.00	-23.01	7.396	5.34892	7.25993	0.0
7.6244	88.0124	-0.24	0.13	0.00	-23.01	7.396	5.34989	7.26124	0.0
7.6344	88.0324	-0.24	0.13	0.00	-23.01	7.396	5.35086	7.26256	2.0
7.6444	88.0524	-0.24	0.13	0.00	-23.01	7.396	5.35182	7.26387	4.0
7.6544	88.0724	-0.24	0.13	0.00	-23.01	7.396	5.35279	7.26518	2.0
7.6644	88.0924	-0.24	0.13	0.00	-23.01	7.396	5.35376	7.26649	0.0
7.6744	88.1124	-0.24	0.13	0.00	-23.01	7.396	5.35472	7.26780	4.0
7.6844	88.1324	-0.24	0.13	0.00	-23.01	7.396	5.35569	7.26911	4.0
7.6944	88.1524	-0.24	0.13	0.00	-23.01	7.396	5.35665	7.27042	4.0
7.7044	88.1724	-0.24	0.13	0.00	-23.01	7.396	5.35762	7.27173	0.0
7.7144	88.1924	-0.24	0.13	0.00	-23.01	7.396	5.35858	7.27304	2.0
7.7244	88.2124	-0.24	0.13	0.00	-23.01	7.396	5.35955	7.27435	2.0
7.7344	88.2324	-0.24	0.13	0.00	-23.01	7.396	5.36051	7.27566	0.0
7.7444	88.2524	-0.24	0.13	0.00	-23.01	7.396	5.36148	7.27697	0.0
7.7544	88.2724	-0.24	0.13	0.00	-23.01	7.396	5.36244	7.27828	2.0
7.7644	88.2924	-0.24	0.13	0.00	-23.01	7.396	5.36341	7.27959	0.0
7.7744	88.3124	-0.24	0.13	0.00	-23.01	7.396	5.36437	7.28090	2.0
7.7844	88.3324	-0.24	0.13	0.00	-23.01	7.396	5.36534	7.28221	0.0
7.7944	88.3524	-0.24	0.13	0.00	-23.01	7.396	5.36630	7.28352	0.0
7.8044	88.3724	-0.24	0.13	0.00	-23.01	7.396	5.36727	7.28482	2.0
7.8144	88.3924	-0.24	0.13	0.00	-23.01	7.396	5.36823	7.28613	0.0
7.8244	88.4124	-0.24	0.13	0.00	-23.01	7.396	5.36919	7.28744	4.0
7.8344	88.4324	-0.24	0.13	0.00	-23.01	7.396	5.37016	7.28875	0.0
7.8444	88.4524	-0.24	0.13	0.00	-23.01	7.396	5.37112	7.29006	4.0
7.8544	88.4724	-0.24	0.13	0.00	-23.01	7.396	5.37208	7.29136	0.0
7.8644	88.4924	-0.24	0.13	0.00	-23.01	7.396	5.37304	7.29267	0.0
7.8744	88.5124	-0.24	0.13	0.00	-23.01	7.396	5.37401	7.29398	2.0
7.8844	88.5324	-0.24	0.13	0.00	-23.01	7.396	5.37497	7.29528	0.0
7.8944	88.5524	-0.24	0.13	0.00	-23.01	7.396	5.37593	7.29659	0.0
7.9044	88.5724	-0.24	0.13	0.00	-23.01	7.396	5.37689	7.29789	0.0
7.9144	88.5924	-0.24	0.13	0.00	-23.01	7.396	5.37786	7.29920	0.0
7.9244	88.6124	-0.24	0.13	0.00	-23.01	7.396	5.37882	7.30051	4.0
7.9344	88.6324	-0.24	0.13	0.00	-23.01	7.396	5.37978	7.30181	0.0
7.9444	88.6524	-0.24	0.13	0.00	-23.01	7.396	5.38074	7.30312	2.0
7.9544	88.6724	-0.24	0.13	0.00	-23.01	7.396	5.38170	7.30442	0.0
7.9644	88.6924	-0.24	0.13	0.00	-23.01	7.396	5.38266	7.30573	2.0
7.9744	88.7124	-0.24	0.13	0.00	-23.01	7.396	5.38363	7.30703	2.0
7.9844	88.7324	-0.24	0.13	0.00	-23.01	7.396	5.38459	7.30833	0.0
7.9944	88.7524	-0.24	0.13	0.00	-23.01	7.396	5.38555	7.30964	0.0
8.0044	88.7724	-0.24	0.13	0.00	-23.01	7.396	5.38651	7.31094	0.0
8.0144	88.7924	-0.24	0.13	0.00	-23.01	7.396	5.38747	7.31225	8.0
8.0244	88.8124	-0.24	0.13	0.00	-23.01	7.396	5.38843	7.31355	2.0
8.0344	88.8324	-0.24	0.13	0.00	-23.01	7.396	5.38939	7.31485	0.0
8.0444	88.8524	-0.24	0.13	0.00	-23.01	7.396	5.39035	7.31615	0.0
8.0544	88.8724	-0.24	0.13	0.00	-23.01	7.396	5.39131	7.31746	4.0
8.0644	88.8924	-0.24	0.13	0.00	-23.01	7.396	5.39227	7.31876	0.0
8.0744	88.9124	-0.24	0.13	0.00	-23.01	7.396	5.39323	7.32006	0.0
8.0844	88.9324	-0.24	0.13	0.00	-23.01	7.396	5.39419	7.32136	0.0
8.0944	88.9524	-0.24	0.13	0.00	-23.01	7.396	5.39515	7.32267	0.0
8.1044	88.9724	-0.24	0.13	0.00	-23.01	7.396	5.39610	7.32397	0.0
8.1144	88.9924	-0.24	0.13	0.00	-23.01	7.396	5.39706	7.32527	2.0
8.1244	89.0124	-0.24	0.13	0.00	-23.01	7.396	5.39802	7.32657	4.0
8.1344	89.0324	-0.24	0.13	0.00	-23.01	7.396	5.39898	7.32787	2.0

6.1744	85.0724	-0.24	0.13	0.00	-23.01	7.396	5.20357	7.06782	0.0
6.1844	85.0924	-0.24	0.13	0.00	-23.01	7.396	5.20456	7.06916	2.0
